"latitude","longitude"
51.49395328,-.15142327
51.49398052,-.12796646
51.49398849,-.14213625
51.49403920,-.15087358
51.49406099,-.13383518
51.49407133,-.13795548
51.49408700,-.13419764
51.49417548,-.13272514
51.49424252,-.12911542
51.49424845,-.13472017
51.49429176,-.13600646
51.49431412,-.15183520
51.49434926,-.15093091
51.49435583,-.15128346
51.49440668,-.13997333
51.49443005,-.13903507
51.49447991,-.14777897
51.49448497,-.13655938
51.49458068,-.14827999
51.49461792,-.15287159
51.49472470,-.13580220
51.49475185,-.13210253
51.49482286,-.12999099
51.49483081,-.13377856
51.49483997,-.13139690
51.49484447,-.15555735
51.49490592,-.12730400
51.49491309,-.14711470
51.49491456,-.12847134
51.49493595,-.13105183
51.49494383,-.13628447
51.49500578,-.14836312
51.49502953,-.14882770
51.49517369,-.15374660
51.49517554,-.13835651
51.49518654,-.14806215
51.49518939,-.13189529
51.49521879,-.13077093
51.49534169,-.12895263
51.49535971,-.12692684
51.49536287,-.13786905
51.49540311,-.14985695
51.49546248,-.13755347
51.49554222,-.15392037
51.49558785,-.13677110
51.49568221,-.13085757
51.49568545,-.12734707
51.49569635,-.14930780
51.49569654,-.14973825
51.49571520,-.15186981
51.49578309,-.13541150
51.49579930,-.15432849
51.49581717,-.14609690
51.49583460,-.14643085
51.49589898,-.12790457
51.49598252,-.15013209
51.49600579,-.13534248
51.49601323,-.12601662
51.49605383,-.14049683
51.49609406,-.12590841
51.49622931,-.13941455
51.49625666,-.13265067
51.49626443,-.15124315
51.49627443,-.15495938
51.49628144,-.12679371
51.49635261,-.14572262
51.49635304,-.12928712
51.49641415,-.14996447
51.49643377,-.14786399
51.49654806,-.13702828
51.49655767,-.15118493
51.49669558,-.13577867
51.49669858,-.15563417
51.49670203,-.13861263
51.49673137,-.12778734
51.49684288,-.13651772
51.49687971,-.15165713
51.49688561,-.15023339
51.49690787,-.13020932
51.49698570,-.12697614
51.49704580,-.13042263
51.49706140,-.12664118
51.49715052,-.14288397
51.49716643,-.15208679
51.49717390,-.14907643
51.49719504,-.14522665
51.49721655,-.15392021
51.49722974,-.13231765
51.49738703,-.12663719
51.49742427,-.15013208
51.49743561,-.15426927
51.49745364,-.13954002
51.49754393,-.13339931
51.49763162,-.14746266
51.49774695,-.14573309
51.49777913,-.13242858
51.49787597,-.12838454
51.49795206,-.15021610
51.49799377,-.14483875
51.49804573,-.13065490
51.49804938,-.13989887
51.49823797,-.14308449
51.49829381,-.14007860
51.49841198,-.17967045
51.49842522,-.15374255
51.49844600,-.15288204
51.49861878,-.13475001
51.49865218,-.14134694
51.49865838,-.14060281
51.49877818,-.15625577
51.49879012,-.14157960
51.49887520,-.15253408
51.49890606,-.13752531
51.49894083,-.16723089
51.49897305,-.15734030
51.49903692,-.14829506
51.49920583,-.17972868
51.49920895,-.14044607
51.49923181,-.16569384
51.49926608,-.14906009
51.49943059,-.16732838
51.49946607,-.13308028
51.49946751,-.16984029
51.49959780,-.14202809
51.49960904,-.15443527
51.49966526,-.13042232
51.49970309,-.17895745
51.49972802,-.15678855
51.49975287,-.13264293
51.49976454,-.13158587
51.49979805,-.14931115
51.49989939,-.17624031
51.49991588,-.17283240
51.49996011,-.17528951
51.50006595,-.16638101
51.50019332,-.15177723
51.50028084,-.16466392
51.50029786,-.17893206
51.50030759,-.13011670
51.50034978,-.16375971
51.50043354,-.16643734
51.50043675,-.15019976
51.50044237,-.15603854
51.50045276,-.16848593
51.50048568,-.15283150
51.50052623,-.13301648
51.50056467,-.13333877
51.50059122,-.13278848
51.50059871,-.13228672
51.50063126,-.16965078
51.50077866,-.13111261
51.50079104,-.15346153
51.50084006,-.15531621
51.50090975,-.15212374
51.50094417,-.16378394
51.50101592,-.17822363
51.50110815,-.16212850
51.50113802,-.17010129
51.50117115,-.16560204
51.50139650,-.15337682
51.50149673,-.16833922
51.50151444,-.16807378
51.50164171,-.15572886
51.50164265,-.17424807
51.50166331,-.15608846
51.50170837,-.17193627
51.50172192,-.15638813
